Umur,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD,JenisKelamin,Type
0,2.1,2.5,2.9,3.3,3.9,4.4,5,male,weight
1,2.9,3.4,3.9,4.5,5.1,5.8,6.6,male,weight
2,3.8,4.3,4.9,5.6,6.3,7.1,8,male,weight
3,4.4,5,5.7,6.4,7.2,8,9,male,weight
4,4.9,5.6,6.2,7,7.8,8.7,9.7,male,weight
5,5.3,6,6.7,7.5,8.4,9.3,10.4,male,weight
6,5.7,6.4,7.1,7.9,8.8,9.8,10.9,male,weight
7,5.9,6.7,7.4,8.3,9.2,10.3,11.4,male,weight
8,6.2,6.9,7.7,8.6,9.6,10.7,11.9,male,weight
9,6.4,7.1,8,8.9,9.9,11,12.3,male,weight
10,6.6,7.4,8.2,9.2,10.2,11.4,12.7,male,weight
11,6.8,7.6,8.4,9.4,10.5,11.7,13,male,weight
12,6.9,7.7,8.6,9.6,10.8,12,13.3,male,weight
13,7.1,7.9,8.8,9.9,11,12.3,13.7,male,weight
14,7.2,8.1,9,10.1,11.3,12.6,14,male,weight
15,7.4,8.3,9.2,10.3,11.5,12.8,14.3,male,weight
16,7.5,8.4,9.4,10.5,11.7,13.1,14.6,male,weight
17,7.7,8.6,9.6,10.7,12,13.4,14.9,male,weight
18,7.8,8.8,9.8,10.9,12.2,137,15.3,male,weight
19,8,8.9,10,11.1,12.5,13.9,15.6,male,weight
20,8.1,9.1,10.1,11.3,12.7,14.2,15.9,male,weight
21,8.2,9.2,10.3,11.5,12.9,14.5,16.2,male,weight
22,8.4,9.4,10.5,11.8,13.2,14.7,16.5,male,weight
23,8.5,9.5,10.7,12,13.4,15,16.8,male,weight
24,8.6,9.7,10.8,12.2,13.6,15.3,17.1,male,weight
25,8.8,9.8,11,12.4,13.9,15.5,17.5,male,weight
26,8.9,10,11.2,12.5,14.1,15.8,17.8,male,weight
27,9,10.1,11.3,12.7,14.3,16.1,18.1,male,weight
28,9.1,10.2,11.5,12.9,14.5,16.3,18.4,male,weight
29,9.2,10.4,11.7,13.1,14.8,16.6,18.7,male,weight
30,9.4,10.5,11.8,13.3,15,169,19,male,weight
31,9.5,10.7,12,13.5,15.2,17.1,19.3,male,weight
32,9.6,10.8,12.1,13.7,15.4,17.4,19.6,male,weight
33,9.7,10.9,12.3,13.8,15.6,17.6,19.9,male,weight
34,9.8,11,12.4,14,15.8,17.8,20.2,male,weight
35,9.9,11.2,12.6,14.2,16,18.1,20.4,male,weight
36,10,11.3,12.7,14.3,16.2,18.3,20.7,male,weight
37,10.1,11.4,12.9,14.5,16.4,18.6,21,male,weight
38,10.2,11.5,13,14.7,16.6,18.8,21.3,male,weight
39,10.3,11.6,13.1,14.8,16.8,19,21.6,male,weight
40,10.4,11.8,13.3,15,17,19.3,21.9,male,weight
41,10.5,11.9,13.4,15.2,17.2,19.5,22.1,male,weight
